Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.015795261421573527;0.01866440067979606;0.017194841547535738;0.018934319704088775;0.01368589423173048;0.01738478456463061;0.017884634609617114;0.01872438268519444;0.015295411376587024;0.018264520643806858
blocking probability;2;all;all;all; ;0.21782465260421874;0.21510546835949215;0.21713485954213735;0.21900429871038687;0.21797460761771467;0.21633509947015894;0.21902429271218635;0.2156253124062781;0.21962411276617014;0.2160851744476657
blocking probability;3;all;all;all; ;0.32950114965510346;0.33196041187643704;0.33022093371988404;0.3327701689493152;0.3350694791562531;0.3301409577126862;0.329481155653304;0.3318604418674398;0.3314305708287514;0.33196041187643704
blocking probability;4;all;all;all; ;0.427221833449965;0.42289313206038187;0.4235329401179646;0.4276517044886534;0.42494251724482657;0.42178346496051183;0.41888433469959013;0.426851944416675;0.4263121063680896;0.42716185144456664


blocking probability lack of transmitters;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability lack of receivers;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;4;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;3;2; ;0.004105571847507331;0.004297994269340974;0.0053285968028419185;0.001834862385321101;0.0015206812652068127;0.002985965959988056;6.205398696866273E-4;0.005269320843091335;0.001487652484379649;0.0015137753557372085
